prompt_id,user_id,cohort_id,label
p-000098,u-000018,c-evening,on_time
p-000099,u-000019,c-evening,timing_gap
p-000100,u-000020,c-morning,on_time
p-000101,u-000001,c-evening,upload_fault
p-000102,u-000002,c-evening,on_time
p-000103,u-000003,c-morning,timing_gap
p-000104,u-000004,c-evening,on_time
p-000105,u-000005,c-morning,on_time
p-000106,u-000006,c-morning,on_time
p-000107,u-000007,c-morning,on_time
p-000108,u-000008,c-morning,on_time
p-000109,u-000009,c-evening,on_time
p-000110,u-000010,c-evening,timing_gap
p-000111,u-000011,c-morning,on_time
p-000112,u-000012,c-evening,timing_gap
p-000113,u-000013,c-morning,unattributed
p-000114,u-000014,c-morning,timing_gap
p-000115,u-000015,c-evening,on_time
p-000116,u-000016,c-morning,on_time
p-000117,u-000017,c-morning,unattributed
p-000118,u-000018,c-evening,on_time
p-000119,u-000019,c-evening,timing_gap
p-000120,u-000020,c-morning,delivery_fault
p-000121,u-000001,c-evening,on_time
p-000122,u-000002,c-evening,on_time
p-000123,u-000003,c-morning,timing_gap
p-000124,u-000004,c-evening,delivery_fault
p-000125,u-000005,c-morning,on_time
p-000126,u-000006,c-morning,on_time
p-000127,u-000007,c-morning,unattributed
p-000128,u-000008,c-morning,timing_gap
p-000129,u-000009,c-evening,delivery_fault
p-000130,u-000010,c-evening,on_time
p-000131,u-000011,c-morning,delivery_fault
p-000132,u-000012,c-evening,unattributed
p-000133,u-000013,c-morning,on_time
p-000134,u-000014,c-morning,on_time
p-000135,u-000015,c-evening,on_time
p-000136,u-000016,c-morning,on_time
p-000137,u-000017,c-morning,timing_gap
p-000138,u-000018,c-evening,on_time
p-000139,u-000019,c-evening,timing_gap
p-000140,u-000020,c-morning,delivery_fault
